sex,empathy_raw_score,manipulation,anagram_score,brick_use_score,brick_creativity,brick_flexibility,mean_empathy_score,centered_empathy_score,,sex_manipulation_product,manipulation_empathy_product,sex_empathy_product,sex_manipulation_empathy_product
0,-11,0,8,3,3,4,30.313,-41.313,,0,0,0,0
0,-6,0,6,6,3.333333333,3,30.313,-36.313,,0,0,0,0
0,-4,0,10,6,3,3.333333333,30.313,-34.313,,0,0,0,0
0,-2,0,5,6,4,3.666666667,30.313,-32.313,,0,0,0,0
0,-1,0,6,5,5,4.666666667,30.313,-31.313,,0,0,0,0
0,-1,0,4,2,2,2,30.313,-31.313,,0,0,0,0
0,4,0,4,5,2.666666667,2.333333333,30.313,-26.313,,0,0,0,0
0,5,0,9,4,4.666666667,5,30.313,-25.313,,0,0,0,0
0,9,0,4,5,3.333333333,3,30.313,-21.313,,0,0,0,0
0,12,0,10,3,2,3,30.313,-18.313,,0,0,0,0
0,14,0,6,3,1.333333333,1.333333333,30.313,-16.313,,0,0,0,0
0,16,0,6,4,2,2,30.313,-14.313,,0,0,0,0
0,16,0,6,5,2.666666667,4,30.313,-14.313,,0,0,0,0
0,18,0,4,6,6,5,30.313,-12.313,,0,0,0,0
0,18,0,9,5,3.666666667,3.333333333,30.313,-12.313,,0,0,0,0
0,18,0,2,2,1,1.333333333,30.313,-12.313,,0,0,0,0
0,21,0,7,5,3.333333333,3.333333333,30.313,-9.313,,0,0,0,0
0,22,0,5,6,3.333333333,3.333333333,30.313,-8.313,,0,0,0,0
0,26,0,10,2,1.333333333,2,30.313,-4.313,,0,0,0,0
0,28,0,6,6,5.333333333,5.666666667,30.313,-2.313,,0,0,0,0
0,28,0,3,4,3.333333333,3.333333333,30.313,-2.313,,0,0,0,0
0,33,0,3,6,5,4,30.313,2.688,,0,0,0,0
0,34,0,6,2,1.333333333,2,30.313,3.688,,0,0,0,0
0,36,0,5,4,3.666666667,4.333333333,30.313,5.688,,0,0,0,0
0,63,0,8,7,5.666666667,5.333333333,30.313,32.688,,0,0,0,0
